age_group,year,mortality_rate,data,exp_life_span
35-39,2040,7.978506594744804e-4,projected,1253.3673916603254
35-39,2041,7.928913749415519e-4,projected,1261.2068078981376
35-39,2042,7.879629163567961e-4,projected,1269.0952572026774
35-39,2043,7.830650921121143e-4,projected,1277.0330462602544
35-39,2044,0.00077819771179040635,projected,1285.0204836754033
35-39,2045,7.733605861581676e-4,projected,1293.057879982883
35-39,2046,7.685535271581339e-4,projected,1301.1455476597464
35-39,2047,7.63776347901964e-4,projected,1309.2838011374986
35-39,2048,7.590288626629824e-4,projected,1317.472956814307
35-39,2049,7.543108868689532e-4,projected,1325.713333067312
35-39,2050,7.496222370949056e-4,projected,1334.0052502650017
35-39,2051,7.44962731056004e-4,projected,1342.349030779666
35-39,2052,7.403321876004559e-4,projected,1350.7449989999384
35-39,2053,7.357304267024774e-4,projected,1359.1934813433927
35-39,2054,7.311572694552881e-4,projected,1367.6948062692443
35-39,2055,7.266125380641576e-4,projected,1376.2493042911174
35-39,2056,7.22096055839493e-4,projected,1384.8573079898936
35-39,2057,7.176076471899704e-4,projected,1393.51915202664
35-39,2058,7.131471376157043e-4,projected,1402.2351731556314
35-39,2059,7.0871435370147e-4,projected,1411.0057102374246
35-39,2060,7.043091231099566e-4,projected,1419.8311042520463
35-39,2061,6.999312745750687e-4,projected,1428.711698312244
35-39,2062,6.95580637895269e-4,projected,1437.647837676825
35-39,2063,6.912570439269557e-4,projected,1446.6398697640884
35-39,2064,6.869603245778951e-4,projected,1455.6881441653172
35-39,2065,6.826903128006802e-4,projected,1464.7930126583797
35-39,2066,6.784468425862386e-4,projected,1473.9548292214038
35-39,2067,6.742297489573791e-4,projected,1483.1739500465355
35-39,2068,6.700388679623732e-4,projected,1492.4507335537976
35-39,2069,6.658740366685877e-4,projected,1501.7855404050094
35-39,2070,6.61735093156146e-4,projected,1511.178733517818
35-39,2071,6.57621876511634e-4,projected,1520.6306780798052
35-39,2072,6.535342268218441e-4,projected,1530.141741562686
35-39,2073,6.494719851675591e-4,projected,1539.7122937365916
35-39,2074,6.454349936173692e-4,projected,1549.342706684457
35-39,2075,6.414230952215394e-4,projected,1559.033354816469
35-39,2076,6.374361340059022e-4,projected,1568.7846148846352
35-39,2077,6.334739549657954e-4,projected,1578.5968659974271
35-39,2078,6.295364040600365e-4,projected,1588.4704896345181
35-39,2079,6.256233282049301e-4,projected,1598.4058696616225
35-39,2080,6.217345752683221e-4,projected,1608.403392345407
35-39,2081,6.178699940636817e-4,projected,1618.4634463685147
35-39,2082,6.140294343442238e-4,projected,1628.5864228446771
35-39,2083,6.102127467970681e-4,projected,1638.772715333918
35-39,2084,6.064197830374355e-4,projected,1649.0227198578514
35-39,2085,6.026503956028744e-4,projected,1659.3368349150892
35-39,2086,5.989044379475343e-4,projected,1669.7154614967185
35-39,2087,5.951817644364643e-4,projected,1680.1590031019005
35-39,2088,5.914822303399517e-4,projected,1690.6678657535572
35-39,2089,5.87805691827897e-4,projected,1701.242458014151
35-39,2090,5.841520059642173e-4,projected,1711.8831910015829
35-39,2091,5.805210307012957e-4,projected,1722.5904784051572
35-39,2092,5.769126248744548e-4,projected,1733.3647365016768
35-39,2093,5.73326648196469e-4,projected,1744.206384171624
35-39,2094,5.697629612521121e-4,projected,1755.1158429154436
35-39,2095,5.66221425492733e-4,projected,1766.0935368699402
35-39,2096,5.627019032308746e-4,projected,1777.139892824751
35-39,2097,5.592042576349175e-4,projected,1788.255340238952
35-39,2098,5.557283527237613e-4,projected,1799.4403112577468
35-39,2099,5.522740533615371e-4,projected,1810.6952407292733
35-39,2100,5.488412252523559e-4,projected,1822.0205662215012
40-44,1981,0.0019833,observed,504.2101547925175
40-44,1982,0.0019279,observed,518.6991026505524
40-44,1983,0.0018551,observed,539.0544984097893
40-44,1984,0.0018321,observed,545.8217346214726
40-44,1985,0.0018067,observed,553.4953229645209
40-44,1986,0.0017864,observed,559.7850425436632
40-44,1987,0.0017529,observed,570.4831992697815
40-44,1988,0.0017239,observed,580.0800510470445
40-44,1989,0.0017061,observed,586.1321141785359
40-44,1990,0.001674,observed,597.3715651135007
40-44,1991,0.0016677,observed,599.6282304970917
40-44,1992,0.0016606,observed,602.1919788028424
40-44,1993,0.0016719999999999999,observed,598.0861244019139
40-44,1994,0.0016815,observed,594.7071067499256
40-44,1995,0.0016816000000000001,observed,594.6717411988582
40-44,1996,0.0016656,observed,600.3842459173871
40-44,1997,0.001641,observed,609.3845216331505
40-44,1998,0.0016155,observed,619.0034045187249
40-44,1999,0.0015953999999999999,observed,626.8020559107434
40-44,2e3,0.0015661,observed,638.5288295766554
40-44,2001,0.0015446000000000001,observed,647.4168069403081
40-44,2002,0.0015428000000000002,observed,648.1721545242416
40-44,2003,0.0015263,observed,655.1791915088777
40-44,2004,0.0015138,observed,660.5892456070815
40-44,2005,0.0014768000000000001,observed,677.1397616468039
40-44,2006,0.0014605,observed,684.6970215679562
40-44,2007,0.0014552,observed,687.1907641561297
40-44,2008,0.0014631,observed,683.480281593876
40-44,2009,0.0014616,observed,684.1817186644773
40-44,2010,0.0014318,observed,698.4215672579969
40-44,2011,0.0013793000000000002,observed,725.0054375407815
40-44,2012,0.0013555,observed,737.7351530800443
40-44,2013,0.0013511,observed,740.1376656058027
40-44,2014,0.0013617,observed,734.3761474627304
40-44,1931,0.0031511449667809294,projected,317.34496842954064
40-44,1932,0.0031193193123634486,projected,320.5827617700091
40-44,1933,0.003087815087867402,projected,323.8535895265184
40-44,1934,0.0030566290469433814,projected,327.1577887411613
40-44,1935,0.00302575797602917,projected,330.4956998947888
40-44,1936,0.0029951986940186014,projected,333.8676669420949
40-44,1937,0.0029649480519337644,projected,337.27403734705956
40-44,1938,0.002935002932600503,projected,340.71516211875445
40-44,1939,0.0029053602503272533,projected,344.1913958475071
40-44,1940,0.0028760169505870135,projected,347.7030967414478
40-44,1941,0.0028469700097026327,projected,351.2506266634156
40-44,1942,0.0028182164345352265,projected,354.83435116824785
40-44,1943,0.0027897532621757497,projected,358.45463954044897
40-44,1944,0.002761577559639682,projected,362.111864832243
40-44,1945,0.0027336864235648012,projected,365.8064039020148
40-44,1946,0.002706076979912004,projected,369.5386374531437
40-44,1947,0.0026787463836691534,projected,373.30895007323244
40-44,1948,0.0026516918185579136,projected,377.1177302737376
40-44,1949,0.0026249104967435454,projected,380.9653705300034
40-44,1950,0.002598399658547638,projected,384.85226732170406
40-44,1951,0.002572156572163724,projected,388.7788211737009
40-44,1952,0.0025461785333758227,projected,392.7454366973085
40-44,1953,0.002520462865279725,projected,396.7525226319962
40-44,1954,0.002495006918007191,projected,400.80049188750104
40-44,1955,0.0024698080684528844,projected,404.8897615863775
40-44,1956,0.0024448637200040774,projected,409.02075310697984
40-44,1957,0.0024201713022730794,projected,413.1938921268827
40-44,1958,0.0023957282708323736,projected,417.4096086667455
40-44,1959,0.002371532106952427,projected,421.6683371346235
40-44,1960,0.0023475803173421475,projected,425.9705163707314
40-44,1961,0.0023238704338919627,projected,430.3165896926637
40-44,1962,0.0023004000134194953,projected,434.7070049410761
40-44,1963,0.0022771666374178045,projected,439.1422145258333
40-44,1964,0.0022541679118061623,projected,443.62267547262945
40-44,1965,0.0022314014666833903,projected,448.14884947007533
40-44,1966,0.0022088649560836025,projected,452.721202917283
40-44,1967,0.0021865560577345,projected,457.3402069719192
40-44,1968,0.002164472472818064,projected,462.0063375987575
40-44,1969,0.002142611925733672,projected,466.72007561872437
40-44,1970,0.0021209721638636133,projected,471.4819067584443
40-44,1971,0.0020995509573409643,projected,476.2923217002927
40-44,1972,0.002078346098819814,projected,481.1518161329572
40-44,1973,0.0020573554032478074,projected,486.0608908025166
40-44,1974,0.002036576707640988,projected,491.02005156403965
40-44,1975,0.0020160078708609122,projected,496.02980943371114
40-44,1976,0.001995646773394018,projected,501.0906806414891
40-44,1977,0.001975491317133209,projected,506.20318668430235
40-44,1978,0.0019555394251616876,projected,511.3678543797797
40-44,1979,0.001935789041538895,projected,516.5852159205476
40-44,1980,0.001916238131088685,projected,521.8558089290622
40-44,2015,0.0013432296196759551,projected,744.4743514822455
40-44,2016,0.001329663388312497,projected,752.0700417788598
40-44,2017,0.0013162341719691944,projected,759.7432290516496
40-44,2018,0.0013029405868338955,projected,767.4947039833708
40-44,2019,0.0012897812630705567,projected,775.32526532392
40-44,2020,0.001276754844678083,projected,783.2357199726442
40-44,2021,0.0012638599893505993,projected,791.2268830614879
40-44,2022,0.0012510953683391311,projected,799.2995780389882
40-44,2023,0.0012384596663146865,projected,807.4546367551262
40-44,2024,0.0012259515812327157,projected,815.6928995470462
40-44,2025,0.001213569824198943,projected,824.0152153256473
40-44,2026,0.0012013131193365533,projected,832.4224416630594
40-44,2027,0.0011891802036547185,projected,840.9154448810119
40-44,2028,0.0011771698269184535,projected,849.4951001401035
40-44,2029,0.001165280751519781,projected,858.1622915299865
40-44,2030,0.00115351175235022,projected,866.9179121604545
40-44,2031,0.0011418616166745186,projected,875.7628642534926
40-44,2032,0.0011303291440057054,projected,884.6980592362329
40-44,2033,0.0011189131459813804,projected,893.724417834877
40-44,2034,0.001107612446241261,projected,902.8428701695713
40-44,2035,0.0010964258803059636,projected,912.054355850251
40-44,2036,0.0010853522954570106,projected,921.3598240734625
40-44,2037,0.0010743905506180476,projected,930.7602337201736
40-44,2038,0.0010635395162372629,projected,940.25655345458
40-44,2039,0.0010527980741709907,projected,949.8497618239227
40-44,2040,0.0010421651175684947,projected,959.5408473593212
40-44,2041,0.0010316395507579106,projected,969.3308086776374
40-44,2042,0.0010212202891333405,projected,979.2206545843804
40-44,2043,0.0010109062590431034,projected,989.2114041776465
40-44,2044,0.0010006963976790797,projected,999.304086953151
40-44,2045,9.905896529672086e-4,projected,1009.4997429102997
40-44,2046,9.805849834590733e-4,projected,1019.7994226593589
40-44,2047,9.706813582245858e-4,projected,1030.2041875297155
40-44,2048,9.60877756745754e-4,projected,1040.7151096792406
40-44,2049,9.511731688115231e-4,projected,1051.3332722047714
40-44,2050,9.415665944136781e-4,projected,1062.0597692537178
40-44,2051,9.320570436437983e-4,projected,1072.8957061368094
40-44,2052,9.226435365912526e-4,projected,1083.8421994419907
40-44,2053,9.133251032422237e-4,projected,1094.9003771494818
40-44,2054,9.041007833797545e-4,projected,1106.0713787480088
40-44,2055,8.949696264847984e-4,projected,1117.356355352229
40-44,2056,8.859306916382863e-4,projected,1128.7564698213284
40-44,2057,8.769830474241507e-4,projected,1140.272896878875
40-44,2058,8.681257718333603e-4,projected,1151.9068232338498
40-44,2059,8.593579521689094e-4,projected,1163.6594477029369
40-44,2060,8.506786849517679e-4,projected,1175.5319813340548
40-44,2061,8.420870758277837e-4,projected,1187.5256475311483
40-44,2062,8.335822394755229e-4,projected,1199.6416821802545
40-44,2063,8.251632995150427e-4,projected,1211.8813337768545
40-44,2064,8.168293884175848e-4,projected,1224.2458635545242
40-44,2065,8.085796474161808e-4,projected,1236.7365456148984
40-44,2066,8.004132264171608e-4,projected,1249.35466705896
40-44,2067,7.923292839125555e-4,projected,1262.1015281196699
40-44,2068,7.843269868933803e-4,projected,1274.9784422959526
40-44,2069,7.764055107638093e-4,projected,1287.986736488029
40-44,2070,7.68564039256188e-4,projected,1301.1277511341727
40-44,2071,7.608017643469324e-4,projected,1314.402840348818
40-44,2072,7.531178861732632e-4,projected,1327.813372062098
40-44,2073,7.455116129507847e-4,projected,1341.360728160804
40-44,2074,7.379821608918943e-4,projected,1355.0463046307812
40-44,2075,7.305287541250185e-4,projected,1368.8715117007778
40-44,2076,7.231506246146627e-4,projected,1382.8377739877621
40-44,2077,7.158470120822686e-4,projected,1396.9465306437226
40-44,2078,7.086171639278722e-4,projected,1411.1992355039636
40-44,2079,7.014603351525518e-4,projected,1425.597357236917
40-44,2080,6.943757882816596e-4,projected,1440.1423794954817
40-44,2081,6.873627932888265e-4,projected,1454.8358010699087
40-44,2082,6.804206275207464e-4,projected,1469.6791360422264
40-44,2083,6.735485756226953e-4,projected,1484.6739139422878
40-44,2084,6.667459294648282e-4,projected,1499.8216799053612
40-44,2085,6.600119880692069e-4,projected,1515.1239948313528
40-44,2086,6.53346057537568e-4,projected,1530.5824355456512
40-44,2087,6.467474509798204e-4,projected,1546.1985949616085
40-44,2088,6.402154884432642e-4,projected,1561.9740822446845
40-44,2089,6.337494968425259e-4,projected,1577.9105229782615
40-44,2090,6.273488098901998e-4,projected,1594.0095593311519
40-44,2091,6.210127680281906e-4,projected,1610.2728502268176
40-44,2092,6.147407183597494e-4,projected,1626.702071514311
40-44,2093,6.08532014582196e-4,projected,1643.2989161409641
40-44,2094,6.023860169203182e-4,projected,1660.065094326844
40-44,2095,5.963020920604558e-4,projected,1677.0023337409582
40-44,2096,5.902796130852268e-4,projected,1694.112379679317
40-44,2097,5.843179594089359e-4,projected,1711.3969952447558
40-44,2098,5.784165167136246e-4,projected,1728.8579615286167
40-44,2099,5.725746768857679e-4,projected,1746.497077794284
40-44,2100,5.667918379536122e-4,projected,1764.3161616625869
45-49,1981,0.0035359,observed,282.8134279815606
45-49,1982,0.0034528000000000002,observed,289.62001853568114
45-49,1983,0.0033523,observed,298.3026578766817
45-49,1984,0.0032722000000000003,observed,305.6047918831367
45-49,1985,0.0031977,observed,312.7247709291053
45-49,1986,0.0031211,observed,320.39985902406204
45-49,1987,0.0030708000000000003,observed,325.6480395988016
45-49,1988,0.0029989,observed,333.4556003868085
45-49,1989,0.0029485,observed,339.1555027980329
45-49,1990,0.0028770000000000002,observed,347.5842891901286
45-49,1991,0.0027844,observed,359.1438011779917
45-49,1992,0.0027047,observed,369.7267719155544
45-49,1993,0.0026204,observed,381.6211265455655
45-49,1994,0.0026006,observed,384.5266476966854
45-49,1995,0.0025721000000000003,observed,388.78737218615134
45-49,1996,0.0025681,observed,389.3929364121335
45-49,1997,0.0025457,observed,392.81926385669954
45-49,1998,0.0025437,observed,393.1281204544561
45-49,1999,0.0025407999999999997,observed,393.5768261964736
45-49,2e3,0.0025342,observed,394.60184673664276
45-49,2001,0.0025347,observed,394.5240067858129
45-49,2002,0.0025046,observed,399.2653517527749
45-49,2003,0.0024496,observed,408.2299150881776
45-49,2004,0.0023833,observed,419.58628792011075
45-49,2005,0.0023283,observed,429.4979169351028
45-49,2006,0.0022734,observed,439.86979853963226
45-49,2007,0.0022359000000000003,observed,447.2471935238606
45-49,2008,0.0021901,observed,456.6001552440528
45-49,2009,0.0021517,observed,464.7488032718316
45-49,2010,0.0020811000000000002,observed,480.5151122002786
45-49,2011,0.0020326,observed,491.9807143559973
45-49,2012,0.0020044,observed,498.9024146876871
45-49,2013,0.0020068,observed,498.3057604145904
45-49,2014,0.0020196999999999997,observed,495.1230380749617
45-49,1931,0.007804866488159269,projected,128.12518977961966
45-49,1932,0.0076761946243073574,projected,130.27288245576923
45-49,1933,0.007549644058567623,projected,132.45657573288662
45-49,1934,0.007425179818992409,projected,134.67687306941195
45-49,1935,0.007302767510185487,projected,136.93438803922714
45-49,1936,0.007182373303796601,projected,139.2297445012222
45-49,1937,0.007063963929173502,projected,141.5635767716897
45-49,1938,0.006947506664167272,projected,143.93652979962417
45-49,1939,0.006832969326090038,projected,146.34925934494427
45-49,1940,0.006720320262820966,projected,148.80243215971873
45-49,1941,0.006609528344059665,projected,151.29672617241337
45-49,1942,0.006500562952723018,projected,153.83283067524334
45-49,1943,0.006393393976484602,projected,156.41144651464893
45-49,1944,0.006287991799452843,projected,159.0332862849815
45-49,1945,0.006184327293987107,projected,161.69907452541835
45-49,1946,0.006082371812647979,projected,164.40954792019645
45-49,1947,0.005982097180280972,projected,167.16545550218413
45-49,1948,0.005883475686230079,projected,169.96755885988276
45-49,1949,0.005786480076680134,projected,172.81663234788638
45-49,1950,0.005691083547125407,projected,175.71346330086908
45-49,1951,0.005597259734961954,projected,178.65885225117165
45-49,1952,0.005504982712202701,projected,181.65361315001687
45-49,1953,0.005414226978311982,projected,184.698573592453
45-49,1954,0.005324967453158848,projected,187.79457504604756
45-49,1955,0.005237179470085918,projected,190.94247308343523
45-49,1956,0.0051508387690931134,projected,194.14313761874277
45-49,1957,0.005065921490133165,projected,197.39745314799845
45-49,1958,0.0049824041665182395,projected,200.70631899354953
45-49,1959,0.004900263718434688,projected,204.07064955259884
45-49,1960,0.004819477446565277,projected,207.49137454988517
45-49,1961,0.0047400230258160085,projected,210.96943929462182
45-49,1962,0.00466187849914691,projected,214.50580494171882
45-49,1963,0.004585022271504013,projected,218.10144875740647
45-49,1964,0.004509433103851725,projected,221.75736438929576
45-49,1965,0.00443509010730356,projected,225.47456214096596
45-49,1966,0.0043619727373493235,projected,229.2540692511706
45-49,1967,0.004290060788177938,projected,233.09693017769968
45-49,1968,0.004219334387093366,projected,237.00420688602605
